Team,Wins,Losses,Points Scored,Points Allowed,Relative Efficiency
Alabama,1,1,18.5,23.5,-25.971479500891263
Arkansas,2,0,27.5,17.0,59.706037454339665
Auburn,2,0,27.5,20.5,4.419191919191917
Florida,1,1,22.0,15.5,36.020499108734406
Georgia,0,2,20.0,27.5,-46.243297307127094
Kentucky,0,2,12.0,24.0,-34.13775838638152
LSU,2,0,24.5,20.5,-32.535014005602235
Mississippi State,1,1,27.5,22.5,29.914177072392732
Missouri,0,2,10.0,35.0,-62.849014562884584
Oklahoma,1,1,19.5,18.0,-2.678916827852998
Ole Miss,1,1,35.5,17.0,61.1854103343465
South Carolina,0,2,17.0,24.0,-55.48245614035088
Tennessee,2,0,23.5,16.0,81.30527761845077
Texas,1,1,25.5,19.5,27.787034251560904
Texas A&M,1,1,19.0,24.0,-25.252525252525253
Vanderbilt,1,1,19.0,24.0,-15.18716577540107
